id,camera_id
1256,459
1257,459
1258,460
1259,460
1260,460
1261,461
1262,461
1263,461
1264,462
1265,462
1266,462
1267,463
1268,463
1269,463
1270,464
1271,464
1272,464
1273,465
1274,465
1275,465
1276,466
1277,466
1278,466
1279,467
1280,467
1281,467
1282,468
1283,468
1284,468
1285,469
1286,469
1287,469
1288,470
1289,470
1290,470
1291,471
1292,471
1293,471
1294,472
1295,472
1296,472
1297,473
1298,473
1299,473
1300,474
1301,474
1302,474
1303,475
1304,475
1305,475
1306,476
1307,476
1308,476
1309,477
1310,477
1311,477
1312,478
1313,478
1314,479
1315,479
1316,479
1317,480
1318,480
1319,481
1320,481
1321,481
1322,482
1323,483
1324,483
1325,483
1326,484
1327,484
1328,484
1329,485
1330,485
1331,485
1332,486
1333,486
1334,486
1335,487
1336,487
1337,487
1338,488
1339,488
1340,488
1341,489
1342,489
1343,489
1344,490
1345,490
1346,490
1347,491
1348,491
1349,491
1350,492
1351,492
1352,492
1353,493
1354,493
1355,493
1356,494
1357,494
1358,494
1359,495
1360,495
1361,495
1362,496
1363,496
1364,496
1365,497
1366,497
1367,497
1368,498
1369,498
1370,498
1371,499
1372,499
1373,499
1374,500
1375,500
1376,500
1377,501
1378,501
1379,501
1380,502
1381,502
1382,502
1383,503
1384,503
1385,503
1386,504
1387,504
1388,504
1389,505
1390,505
1391,505
1392,506
1393,506
1394,506
1395,507
1396,507
1397,508
1398,508
1399,508
1400,509
1401,509
1402,509
1403,510
1404,510
1405,510
1406,511
1407,511
1408,511
1409,512
1410,512
1411,512
1412,513
1413,513
1414,513
1415,514
1416,514
1417,514
1418,515
1419,515
1420,515
1421,516
1422,516
1423,516
1424,517
1425,517
1426,517
1427,518
1428,518
1429,518
1430,519
1431,519
1432,519
1433,520
1434,520
1435,520
1436,521
1437,521
1438,522
1439,522
1440,522
1441,523
1442,523
1443,523
1444,524
1445,524
1446,524
1447,525
1448,525
1449,525
1450,526
1451,526
1452,526
1453,527
1454,527
1455,527
1456,527
1457,528
1458,528
1459,528
1460,529
1461,529
1462,529
1463,530
1464,530
1465,530
1466,531
1467,531
1468,531
1469,532
1470,532
1471,533
1472,533
1473,533
1474,534
1475,534
1476,534
1477,535
1478,535
1479,536
1480,536
1481,537
1482,537
1483,537
1484,538
1485,538
1486,538
1487,539
1488,539
1489,539
1490,540
1491,540
1492,540
1493,541
1494,541
1495,541
1496,542
1497,542
1498,542
1499,543
1500,543
1501,543
1502,544
1503,544
1504,544
1505,545
1506,545
1507,545
1508,546
1509,546
1510,546
1511,547
1512,547
1513,548
1514,548
1515,548
1516,549
1517,549
1518,549
1519,550
1520,550
1521,550
1522,551
1523,551
1524,551
1525,552
1526,552
1527,552
1528,553
1529,553
1530,553
1531,554
1532,554
1533,554
1534,555
1535,555
1536,555
1537,556
1538,556
1539,556
1540,557
1541,557
1542,557
1543,558
1544,558
1545,558
1546,559
1547,559
1548,559
1549,560
1550,560
1551,560
1552,561
1553,561
1554,561
1555,562
1556,562
1557,562
1558,563
1559,563
1560,563
1561,564
1562,564
1563,564
1564,565
1565,565
1566,565
1567,566
1568,566
1569,566
1570,567
1571,567
1572,567
1573,568
1574,568
1575,569
1576,569
1577,569
1578,570
1579,570
1580,570
1581,571
1582,571
1583,571
1584,572
1585,572
1586,572
1587,573
1588,573
1589,573
1590,574
1591,574
1592,574
1593,575
1594,575
1595,575
1596,576
1597,576
1598,576
1599,577
1600,577
1601,577
1602,578
1603,578
1604,578
1605,579
1606,579
1607,580
1608,580
1609,580
1610,581
1611,581
1612,581
1613,582
1614,582
1615,582
1616,583
1617,583
1618,583
1619,584
1620,584
